Architecture,XAttn_caching,Compile,Resolution,BS,"Time/image, ms",Full Profiling
Lumina-Next,False,,512,8,5603.85693359375,1.0
SD3_DiT,False,,512,8,934.2899951171876,1.0
SDXL_UNet,False,,512,8,866.7236968994141,1.0
SDXL_UNet_NoCFG,False,,512,8,546.940171508789,1.0
SDXL-Turbo,False,,512,8,251.16925720214843,1.0
DMD2,False,,512,8,250.416205444336,1.0
Lumina-Next,False,,512,8,40.16959487915039,0.0
SD3_DiT,False,,512,8,16.782833909988405,0.0
SDXL_UNet,False,,512,8,12.401034231185912,0.0
SDXL-Turbo,False,,512,8,12.49828995704651,0.0
DMD2,False,,512,8,12.39727102279663,0.0
TVAR_Lumina_SwiGLUFFN,True,,512,8,112.40065559387207,0.0
TVAR_Lumina_SwiGLUFFN,True,,512,8,179.32763107299806,1.0
TVAR_Lumina_SwiGLUFFN_NoCFG,True,,512,8,139.3762696838379,1.0
SWiNAR_Lumina_SwiGLUFFN,True,,512,8,94.58982902526856,0.0
SWiNAR_Lumina_SwiGLUFFN,True,,512,8,160.65552780151367,1.0
SWiNAR_Lumina_SwiGLUFFN_NoCFG,True,,512,8,126.52765739440918,1.0
SDXL_UNet,False,,256,8,291.3552484130859,1.0
SDXL_UNet,False,,512,8,596.6429986572266,1.0
SWiNAR_Lumina_SwiGLUFFN_NoCFG_noApex,True,,512,8,163.76983795166015,1.0
SDXL_UNet,False,,1024,8,2263.4743969726565,1.0
SDXL_UNet,True,,1024,4,80.36440608978272,0.0
SD3_DiT,True,,1024,4,129.57250549316407,0.0
SD3_DiT,True,,1024,4,65.48716304779053,0.0
TVAR_SwiGLUFFN,True,,1024,4,563.063871459961,0.0
TVAR_SwiGLUFFN,True,,1024,4,839.8322747802735,1.0
SWiNAR_SwiGLUFFN,True,,1024,4,464.41508728027344,0.0
SDXL_UNet,True,,1024,4,47.91537933349609,0.0
SDXL_UNet,True,,1024,4,63.21687515258789,0.0
SDXL_UNet,True,,1024,4,68.84376598358155,0.0
SDXL_UNet,True,,1024,4,64.76415504455566,0.0
SDXL_UNet,True,,1024,4,59.73585922241211,0.0
SDXL_UNet,True,,1024,4,46.983070640563966,0.0
SD3_DiT,True,,1024,4,65.49766899108887,0.0
SDXL_UNet,True,,1024,4,2388.675927734375,1.0
SDXL_UNet,True,,1024,8,42.14236541748047,0.0
SD3_DiT,True,,1024,8,61.271614723205566,0.0
TVAR_SwiGLUFFN,True,,1024,8,464.7637158203125,0.0
SWiNAR_SwiGLUFFN,True,,1024,8,369.4726089477539,0.0
SDXL-Turbo,True,,1024,8,469.0791940307617,1.0
DMD2,True,,1024,8,387.642632446289,1.0
SDXL_UNet,True,,1024,8,2283.170832519532,1.0
SD3_DiT,True,,1024,4,3787.734772949219,1.0
TVAR_SwiGLUFFN,True,,1024,8,734.2462463378906,1.0
TVAR_SwiGLUFFN_NoCFG,True,,1024,8,537.3444830322265,1.0
SWiNAR_SwiGLUFFN,True,,1024,8,734.873920288086,1.0
TVAR_SwiGLUFFN,True,,1024,8,907.7721740722656,1.0
TVAR_SwiGLUFFN_NoCFG,True,,1024,8,640.6209252929688,1.0
SWiNAR_SwiGLUFFN_NoCFG,True,,1024,8,539.7945050048828,1.0
SD3_DiT,True,,1024,8,3893.782919921875,1.0
TVAR_SwiGLUFFN_NoCFG,True,,1024,8,581.1911010742188,1.0
SWiNAR_SwiGLUFFN_NoCFG,True,,1024,8,498.6620590209961,1.0
SDXL-Turbo,False,,1024,8,377.9949755859375,1.0
DMD2,False,,1024,8,368.4502252197266,1.0
